date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:08	92818/92818	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:07%20GMT	http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search2976.html	(from )
15:45:09	536/536	---M-Z	200	added ('OK')	text/plain	date:Wed,%2008%20Mar%202017%2023:45:07%20GMT	http://www.bing.com/robots.txt		(from )
15:45:09	440/440	---M--	200	added ('OK')	image/x-icon	date:Tue,%2007%20Mar%202017%2020:21:20%20GMT	http://www.bing.com/sa/simg/bing_p_rr_teal_min.ico	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/sa/simg/bing_p_rr_teal_min.ico	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:09	6192/6192	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202017%2014:05:57%20GMT	http://www.bing.com/sa/simg/sw_mg_l_4d_brandw2.png	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/sa/simg/sw_mg_l_4d_brandw2.png	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:09	262/262	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202017%2014:04:40%20GMT	http://www.bing.com/sa/simg/navchevrons_topRefresh.png	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/sa/simg/navchevrons_topRefresh.png	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:09	79070/79070	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2023:45:09%20GMT	http://www.bing.com/images/POST	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/POST.4.delayed	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:10	79077/79077	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2023:45:09%20GMT	http://www.bing.com/images/sj_cook.set	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/sj_cook.5.delayed	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:11	7335/7335	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202017%2004:12:21%20GMT	http://www.bing.com/sa/simg/sw_mg_l_4d_cct.png	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/sa/simg/sw_mg_l_4d_cct.png	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:11	105106/105106	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:11%20GMT	http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search0a33.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:45:12	104772/104772	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:45:11%20GMT	http://www.bing.com/images/search?q=Healthy+Natural+Nails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search2825.html	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
